SISTEMA	DEPTO	SETOR         	SALARIO
RH  	DEPT. CMP	SETOR_D	715
RH  	DEPT. CMP	SETOR_D	2.145,00
RH  	DEPT. CMP	SETOR_D	975
RH  	DEPT. CMP	SETOR_D	1.625,00
RH  	DEPT. CMP	SETOR_D	2.145,00
RH  	DEPT. CMP	SETOR_D	650
RH  	DEPT. CMP	SETOR_D	2.145,00
RH  	DEPT. CMP	SETOR_D	1.365,00
RH  	DEPT. CMP	SETOR_D	5.204,29
RH  	DEPT. CMP	SETOR_D	1.007,50
RH  	DEPT. CMP	SETOR_D	1.982,50
RH  	DEPT. CMP	SETOR_D	975
RH  	DEPT. CMP	SETOR_D	1.300,00
RH  	DEPT. CMP	SETOR_D	1.365,00
RH  	DEPT. CMP	SETOR_D	1.982,50
RH  	DEPT. CMP	SETOR_D	1.482,00
RH  	DEPT. CMP	SETOR_D	975
RH  	DEPT. CMP	SETOR_D	1.235,00
RH  	DEPT. CMP	SETOR_D	1.690,00
RH  	DEPT. CMP	SETOR_D	2.015,00
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	6.671,22
RH  	DEPT.RH	SETOR_D	2.210,00
RH  	DEPT.RH	SETOR_D	5.967,00
RH  	DEPT.RH	SETOR_D	1.527,50
RH  	DEPT.RH	SETOR_D	8.305,65
RH  	DEPT.RH	SETOR_D	1.742,00
RH  	DEPT.RH	SETOR_D	4.322,50
RH  	DEPT.RH	SETOR_D	975
RH  	DEPT.RH	SETOR_D	1.657,50
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	975
RH  	DEPT.RH	SETOR_D	3.120,00
RH  	DEPT.RH	SETOR_D	2.697,50
RH  	DEPT.RH	SETOR_D	7.897,50
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	2.015,00
RH  	DEPT.RH	SETOR_D	812,5
RH  	DEPT.RH	SETOR_D	1.365,00
RH  	DEPT.RH	SETOR_D	3.854,50
RH  	DEPT.RH	SETOR_D	5.236,74
RH  	DEPT.RH	SETOR_D	1.365,00
RH  	DEPT.RH	SETOR_D	2.489,50
RH  	DEPT.RH	SETOR_D	2.161,25
RH  	DEPT.RH	SETOR_D	4.667,00
RH  	DEPT.RH	SETOR_D	1.612,00
RH  	DEPT.RH	SETOR_D	2.015,00
RH  	DEPT.RH	SETOR_D	2.697,50
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	6.711,95
RH  	DEPT.RH	SETOR_D	1.040,00
RH  	DEPT.RH	SETOR_D	1.417,00
RH  	DEPT.RH	SETOR_D	1.007,50
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	1.007,50
RH  	DEPT.RH	SETOR_D	10.776,86
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	1.475,50
RH  	DEPT.RH	SETOR_D	2.665,00
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	1.446,25
RH  	DEPT.RH	SETOR_D	7.572,50
RH  	DEPT.RH	SETOR_D	1.449,98
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	1.332,50
RH  	DEPT.RH	SETOR_D	2.717,00
RH  	DEPT.RH	SETOR_D	1.654,25
RH  	DEPT.RH	SETOR_D	3.367,00
RH  	DEPT.RH	SETOR_D	1.976,00
RH  	DEPT.RH	SETOR_D	1.397,50
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	1.397,50
RH  	DEPT.RH	SETOR_D	910
RH  	DEPT.RH	SETOR_D	1.982,50
RH  	DEPT.RH	SETOR_D	1.722,50
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	845
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	1.742,00
RH  	DEPT.RH	SETOR_D	1.040,00
RH  	DEPT.RH	SETOR_D	2.047,50
RH  	DEPT.RH	SETOR_D	1.261,00
RH  	DEPT.RH	SETOR_D	1.300,00
RH  	DEPT.RH	SETOR_D	3.367,00
RH  	DEPT.RH	SETOR_D	1.365,00
RH  	DEPT.RH	SETOR_D	1.170,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	2.684,50
RH  	DEPT.RH	SETOR_D	5.967,00
RH  	DEPT.RH	SETOR_D	1.212,25
RH  	DEPT.RH	SETOR_D	1.475,50
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	2.197,00
RH  	DEPT.RH	SETOR_D	1.592,50
RH  	DEPT.RH	SETOR_D	1.982,50
RH  	DEPT.RH	SETOR_D	1.651,00
RH  	DEPT.RH	SETOR_D	2.457,00
RH  	DEPT.RH	SETOR_D	2.600,00
RH  	DEPT.RH	SETOR_D	2.372,50
RH  	DEPT.RH	SETOR_D	2.457,00
RH  	DEPT.RH	SETOR_D	1.199,25
RH  	DEPT.RH	SETOR_D	1.066,00
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	1.365,00
RH  	DEPT.RH	SETOR_D	1.196,00
RH  	DEPT.RH	SETOR_D	1.820,00
RH  	DEPT.RH	SETOR_D	3.432,00
RH  	DEPT.RH	SETOR_D	1.852,50
RH  	DEPT.RH	SETOR_D	1.072,50
RH  	DEPT.RH	SETOR_D	8.224,05
RH  	DEPT.RH	SETOR_D	1.742,00
RH  	DEPT.RH	SETOR_D	1.852,50
RH  	DEPT.RH	SETOR_D	2.990,00
RH  	DEPT.RH	SETOR_D	1.001,00
RH  	DEPT.RH	SETOR_D	1.199,25
RH  	DEPT.RH	SETOR_D	3.887,00
RH  	DEPT.RH	SETOR_D	8.224,05
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	2.457,00
RH  	DEPT.RH	SETOR_D	1.202,50
RH  	DEPT.RH	SETOR_D	1.365,00
RH  	DEPT.RH	SETOR_D	9.327,23
RH  	DEPT.RH	SETOR_D	1.202,50
RH  	DEPT.RH	SETOR_D	1.592,50
RH  	DEPT.RH	SETOR_D	1.066,00
RH  	DEPT.RH	SETOR_D	9.327,23
RH  	DEPT.RH	SETOR_D	2.015,00
RH  	DEPT.RH	SETOR_D	1.196,00
RH  	DEPT.RH	SETOR_D	2.080,00
RH  	DEPT.RH	SETOR_D	8.786,26
RH  	DEPT.RH	SETOR_D	1.235,00
RH  	DEPT.RH	SETOR_D	2.044,25
RH  	DEPT.RH	SETOR_D	1.872,00
RH  	DEPT.RH	SETOR_D	1.462,50
RH  	DEPT.RH	SETOR_D	1.872,00
RH  	DEPT.RH	SETOR_D	1.937,00
RH  	DEPT.RH	SETOR_D	10.776,86
RH  	DEPT.RH	SETOR_D	1.069,25
RH  	DEPT.RH	SETOR_D	1.072,50
RH  	DEPT.RH	SETOR_D	2.340,00
RH  	DEPT.RH	SETOR_D	1.066,00
